Market,DateTime,Business,Brand,URL,Keyword,SB,SBFlag,Product1,Product1Flag,Product1Buttons,Product1Offer,Product2,Product2Flag,Product2Buttons,Product2Offer,Product3,Product3Flag,Product3Buttons,Product3Offer,Product4,Product4Flag,Product4Buttons,Product4Offer,SBV,SBVFlag
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=condooms,condooms,Ga naar de productpagina voor Durex - Condooms Thin Feel - Extra Dun - 20 stuks. Komt niet in aanmerking voor Prime.---Condooms---Nude,1,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex - Condooms Extra Safe - Meer Comfort - 20st,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Thin Feel - Extra Glijmiddel - 10st,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Classic Natural 12st,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=glijmiddel,glijmiddel,Ga naar de productpagina voor Durex Sensitive - Sexual Glijmiddel - Waterbasis - 100 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex - Glijmiddel Natural - Extra Sensitive - 100% Natuurlijk - Waterbasis - 100 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex Massage Olie en Glijmiddel 2-in-1 - Sensual met Ylang Ylang - waterbasis - 200 ml. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex - Glijmiddel Natural - Extra Sensitive - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Glijmiddel Play Sweet Strawberry – Aardbei - waterbasis - 50ML,1,N/A,N/A,Gesponsorde advertentie - Durex - Glijmiddel Natural - Hydraterend - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - FERTILILY Conceptie Gel - Spermavriendelijk Glijmiddel - Vruchtbaarheidsmiddel - pH Neutraal - O...,0,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=durex,durex,Ga naar de productpagina voor Durex Glijmiddel Sensitive - Waterbasis - 250 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex Massage Olie en Glijmiddel 2-in-1 - Sensual met Ylang Ylang - waterbasis - 200 ml. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex Condooms Classic Natural 40 stuks,1,Bestseller,N/A,Gesponsorde advertentie - Durex Sensitive - Sexual Glijmiddel - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Glijmiddel Natural - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=condoms,condoms,Ga naar de productpagina voor Durex - Condooms Thin Feel - Extra Dun - 20 stuks. Komt niet in aanmerking voor Prime.---Condooms---Nude,1,Gesponsorde advertentie - Durex - Condooms Thin Feel - Extra Dun - 20 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Extra Safe - Extra Glijmiddel - 12st,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Classic Natural 12st,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=durex+glijmiddel,durex glijmiddel,Ga naar de productpagina voor Durex Glijmiddel Natural - Waterbasis - 250 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex Glijmiddel Sensitive - Waterbasis - 250 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex - Glijmiddel Natural - Extra Sensitive - 100% Natuurlijk - Waterbasis - 100 ml. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex Glijmiddel Natural - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Sensitive - Sexual Glijmiddel - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex - 10 condooms Naturals - Fijne Condooms met Glijmiddel op Waterbasis,1,N/A,N/A,Gesponsorde advertentie - Durex Massage Olie en Glijmiddel 2-in-1 - Sensual met Ylang Ylang - waterbasis - 200 ml,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=glijmiddel+waterbasis,glijmiddel waterbasis,"Ga naar de productpagina voor EasyGlide, Glijmiddel op Waterbasis (500ml) – Dit glijmiddel is geschikt voor langdurig gebruik, heeft een neutrale smaak en is transparant van kleur. Beoordeeld met 4.3 uit 5 sterren op basis van 12494 recensies. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor EasyGlide, Passion Fruit Glijmiddel op Waterbasis (30ml) – Dit glijmiddel is voor langdurig gebruik, het heeft de geur en smaak van passievrucht en is transparant van kleur. Beoordeeld met 4.2 uit 5 sterren op basis van 656 recensies. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor EasyGlide, Anaal Glijmiddel op Waterbasis (150ml) – Dit glijmiddel is speciaal ontwikkeld voor anaal gebruik, is vetvrij, heeft een transparante kleur en is geurloos. Beoordeeld met 4.2 uit 5 sterren op basis van 1857 recensies. Komt niet in aanmerking voor Prime.",0,Gesponsorde advertentie - Durex Sensitive - Sexual Glijmiddel - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Sensitive - Sexual Glijmiddel - Waterbasis - 50 ml,1,N/A,N/A,Gesponsorde advertentie - Durex - Glijmiddel Natural - Hydraterend - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex - Glijmiddel Natural - Extra Sensitive - 100% Natuurlijk - Waterbasis - 100 ml,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=durex+condoom,durex condoom,Ga naar de productpagina voor Durex Condooms Nude - Extra Dun - 40 stuks. Komt in aanmerking voor Prime.---Ga naar de productpagina voor Durex Condooms Classic Natural 40 stuks. Komt in aanmerking voor Prime.---Ga naar de productpagina voor Durex - Condooms Thin Feel - Extra Dun - 20 stuks. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex - 10 condooms Naturals - Fijne Condooms met Glijmiddel op Waterbasis,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Classic Natural 40 stuks,1,Bestseller,N/A,Gesponsorde advertentie - Durex - Condooms Thin Feel - Extra Dun - 20 stuks,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=condoom,condoom,Ga naar de productpagina voor Durex - Condooms Thin Feel - Extra Dun - 20 stuks. Komt niet in aanmerking voor Prime.---Condooms---Nude,1,Gesponsorde advertentie - Durex Condooms Classic Natural 40 stuks,1,Bestseller,N/A,Gesponsorde advertentie - Durex - Condooms Thin Feel - Extra Dun - 20 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Thin Feel - Extra Glijmiddel - 10st,1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=durex+play,durex play,Ga naar de productpagina voor Durex Glijmiddel Natural - Waterbasis - 250 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex Glijmiddel Sensitive - Waterbasis - 250 ml. Komt niet in aanmerking voor Prime.---Ga naar de productpagina voor Durex - Glijmiddel Natural - Extra Sensitive - 100% Natuurlijk - Waterbasis - 100 ml. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex Sensitive - Sexual Glijmiddel - Waterbasis - 100 ml,1,N/A,N/A,Gesponsorde advertentie - Durex Massage Olie en Glijmiddel 2-in-1 - Sensual met Ylang Ylang - waterbasis - 200 ml,1,N/A,N/A,Durex Glijmiddel Play Sweet Strawberry – Aardbei - waterbasis - 50ML,1,N/A,N/A,"Durex Play Warmende glijgel op waterbasis, zachte glijgel met warm effect, 1 x 50 ml in de praktische doseerfles",1,N/A,N/A,N/A,0
NL,10/07/2022 07:19:07,Health,Durex,https://www.amazon.nl/s?k=durex+condooms,durex condooms,Ga naar de productpagina voor Durex Condooms Nude - Extra Dun - 40 stuks. Komt in aanmerking voor Prime.---Ga naar de productpagina voor Durex Condooms Classic Natural 40 stuks. Komt in aanmerking voor Prime.---Ga naar de productpagina voor Durex - Condooms Thin Feel - Extra Dun - 20 stuks. Komt niet in aanmerking voor Prime.,1,Gesponsorde advertentie - Durex Condooms Classic Natural 40 stuks,1,Bestseller,N/A,Gesponsorde advertentie - Durex Condooms Nude - Extra Dun - 40 stuks,1,N/A,N/A,Gesponsorde advertentie - Durex - 10 condooms Naturals - Fijne Condooms met Glijmiddel op Waterbasis,1,N/A,N/A,Gesponsorde advertentie - Durex Condooms Performa - vertragend effect - 10 stuks,1,N/A,N/A,N/A,0
